model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B4,persistent.drop.watch_acc,drop,watch_acc,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,15,fault,0.582301410396,0.712823380954,0.423574482253,0.0189292970741,0.0347491135148,0.0398428451853,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,30,fault,0.566170477563,0.724901111313,0.405988512072,0.0214934712204,0.0352936381899,0.047461073623,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,fault,0.566426249481,0.673919761174,0.459930213164,0.0402631425775,0.0256817355036,0.0320875889179,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,fault,0.578341832399,0.69046030639,0.434285258441,0.0402959146328,0.0222204225176,0.0334342768941,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,fault,0.562141301218,0.704505008607,0.419298450964,0.046355338257,0.0268797928363,0.0384872654982,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,fault,0.579693863447,0.688995396517,0.453539092279,0.0367972091757,0.0303097981724,0.0203378632525,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,fault,0.588160795322,0.706826699832,0.429191509054,0.0369579510125,0.0280103338206,0.0227607945138,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,fault,0.571989810107,0.720189824609,0.413726594209,0.0398261749011,0.025721127925,0.0265058999405,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,fault,0.595108605473,0.703360800481,0.420974709645,0.0365488273733,0.0272249063646,0.0308898026319,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,fault,0.604574471239,0.720749262003,0.397801334121,0.0393440235774,0.0259329833066,0.0315024095509,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,fault,0.589900760552,0.734684359408,0.382917948472,0.0429316706171,0.028242025307,0.0371609411722,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,fault,0.599404853313,0.707039036727,0.419826495109,0.0357307384025,0.0275214678177,0.0280319342928,5,3
