model_id,fold,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,0,mixed.drop-watch_acc.gaussian-phone_acc.sigma-1,watch_acc,phone_acc,1,0.526662243823,0.700786716749,0.5266212953,0.129740097733,3
B4,0,mixed.drop-watch_acc.gaussian-phone_acc.sigma-2,watch_acc,phone_acc,2,0.521290071893,0.696569841837,0.522898709771,0.13141758029,3
B4,0,mixed.drop-watch_acc.gaussian-phone_gyro.sigma-1,watch_acc,phone_gyro,1,0.527399698395,0.704948901872,0.526895901745,0.12831393063,3
B4,0,mixed.drop-watch_acc.gaussian-phone_gyro.sigma-2,watch_acc,phone_gyro,2,0.524029266146,0.70230777223,0.521504849768,0.129315346428,3
B4,0,mixed.drop-watch_acc.gaussian-phone_state.sigma-1,watch_acc,phone_state,1,0.473142142058,0.659229547743,0.476230040309,0.142833973995,3
B4,0,mixed.drop-watch_acc.gaussian-phone_state.sigma-2,watch_acc,phone_state,2,0.453962023622,0.64078853043,0.455594404068,0.149717254492,3
B4,1,mixed.drop-audio.gaussian-location.sigma-1,audio,location,1,0.573634924263,0.637673555287,0.572125391869,0.14986580898,3
B4,1,mixed.drop-audio.gaussian-location.sigma-2,audio,location,2,0.565743749858,0.633489988965,0.562335097366,0.15199301142,3
B4,1,mixed.drop-audio.gaussian-phone_acc.sigma-1,audio,phone_acc,1,0.58220547628,0.646869522843,0.579725077227,0.145995246926,3
B4,1,mixed.drop-audio.gaussian-phone_acc.sigma-2,audio,phone_acc,2,0.579129528645,0.643660360874,0.574355789445,0.147235625308,3
B4,1,mixed.drop-audio.gaussian-phone_gyro.sigma-1,audio,phone_gyro,1,0.584576537702,0.648982371772,0.584926579405,0.145060428069,3
B4,1,mixed.drop-audio.gaussian-phone_gyro.sigma-2,audio,phone_gyro,2,0.581874845422,0.645800620627,0.580137568549,0.146775344741,3
B4,1,mixed.drop-audio.gaussian-phone_state.sigma-1,audio,phone_state,1,0.53652669975,0.609597611338,0.528903996687,0.155422534114,3
B4,1,mixed.drop-audio.gaussian-phone_state.sigma-2,audio,phone_state,2,0.513647062552,0.591347314875,0.502814371912,0.161582184186,3
B4,1,mixed.drop-audio.gaussian-watch_acc.sigma-1,audio,watch_acc,1,0.569564140861,0.638754404525,0.565687261946,0.149800265173,3
B4,1,mixed.drop-audio.gaussian-watch_acc.sigma-2,audio,watch_acc,2,0.552129347765,0.629345144855,0.54879687777,0.153792953019,3
B4,1,mixed.drop-location.gaussian-audio.sigma-1,location,audio,1,0.5552671284,0.644680655507,0.567158032372,0.14470017741,3
B4,1,mixed.drop-location.gaussian-audio.sigma-2,location,audio,2,0.541027021184,0.633080612192,0.553953855888,0.150464057851,3
B4,1,mixed.drop-location.gaussian-phone_acc.sigma-1,location,phone_acc,1,0.577490804794,0.669210901958,0.587483276788,0.134953946591,3
B4,1,mixed.drop-location.gaussian-phone_acc.sigma-2,location,phone_acc,2,0.570380694771,0.66577932354,0.580444077137,0.137057797637,3
B4,1,mixed.drop-location.gaussian-phone_gyro.sigma-1,location,phone_gyro,1,0.582520526493,0.67096270518,0.593465148183,0.133344265611,3
B4,1,mixed.drop-location.gaussian-phone_gyro.sigma-2,location,phone_gyro,2,0.579380371069,0.666758546455,0.588587330934,0.135708599057,3
B4,1,mixed.drop-location.gaussian-phone_state.sigma-1,location,phone_state,1,0.526202661548,0.637938138718,0.53320421892,0.142748041542,3
B4,1,mixed.drop-location.gaussian-phone_state.sigma-2,location,phone_state,2,0.505525788541,0.62399903478,0.512193091876,0.146794142408,3
B4,1,mixed.drop-location.gaussian-watch_acc.sigma-1,location,watch_acc,1,0.568253630775,0.661245857268,0.576543106075,0.138296018625,3
B4,1,mixed.drop-location.gaussian-watch_acc.sigma-2,location,watch_acc,2,0.548832756598,0.65226033706,0.556703482261,0.142878372269,3
B4,1,mixed.drop-phone_acc.gaussian-audio.sigma-1,phone_acc,audio,1,0.556931740249,0.640174497286,0.553649177799,0.145017184334,3
B4,1,mixed.drop-phone_acc.gaussian-audio.sigma-2,phone_acc,audio,2,0.544342623083,0.627333254493,0.539323253258,0.149694401514,3
B4,1,mixed.drop-phone_acc.gaussian-location.sigma-1,phone_acc,location,1,0.577365410727,0.663198027026,0.571243939723,0.137092255385,3
B4,1,mixed.drop-phone_acc.gaussian-location.sigma-2,phone_acc,location,2,0.568554917409,0.657759882646,0.561239814365,0.13929431229,3
B4,1,mixed.drop-phone_acc.gaussian-phone_gyro.sigma-1,phone_acc,phone_gyro,1,0.585967939838,0.672090572446,0.582105963077,0.133793480161,3
B4,1,mixed.drop-phone_acc.gaussian-phone_gyro.sigma-2,phone_acc,phone_gyro,2,0.583465258276,0.668990036636,0.577542057744,0.135836363011,3
B4,1,mixed.drop-phone_acc.gaussian-phone_state.sigma-1,phone_acc,phone_state,1,0.532791201271,0.635068201587,0.529584174914,0.14287782567,3
B4,1,mixed.drop-phone_acc.gaussian-phone_state.sigma-2,phone_acc,phone_state,2,0.50938504613,0.619223247146,0.508733398957,0.147552178058,3
B4,1,mixed.drop-phone_acc.gaussian-watch_acc.sigma-1,phone_acc,watch_acc,1,0.571593512277,0.662697673733,0.56531187377,0.137938717244,3
B4,1,mixed.drop-phone_acc.gaussian-watch_acc.sigma-2,phone_acc,watch_acc,2,0.551269580352,0.652674413215,0.546075770469,0.142051028243,3
B4,1,mixed.drop-phone_gyro.gaussian-audio.sigma-1,phone_gyro,audio,1,0.573087397213,0.658994379247,0.574661684655,0.13889455049,3
B4,1,mixed.drop-phone_gyro.gaussian-audio.sigma-2,phone_gyro,audio,2,0.565264310522,0.648543514684,0.564052308835,0.142655496698,3
B4,1,mixed.drop-phone_gyro.gaussian-location.sigma-1,phone_gyro,location,1,0.588921878725,0.679554841255,0.59061097293,0.132200236687,3
