model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,0,mask.111000,3,phone_acc|phone_gyro|watch_acc,location|audio|phone_state,0.437372418558,0.606488991073,0.458675477003,0.165705963872,3
B4,0,mask.111001,4,phone_acc|phone_gyro|watch_acc|phone_state,location|audio,0.51532487851,0.679181838356,0.532378179973,0.141426623148,3
B4,0,mask.111010,4,phone_acc|phone_gyro|watch_acc|audio,location|phone_state,0.489653195166,0.664203127745,0.499247694047,0.139401489169,3
B4,0,mask.111011,5,phone_acc|phone_gyro|watch_acc|audio|phone_state,location,0.540016903087,0.700810638333,0.544044988242,0.129473096687,3
B4,0,mask.111100,4,phone_acc|phone_gyro|watch_acc|location,audio|phone_state,0.516830277457,0.663051983464,0.535675508519,0.142095465837,3
B4,0,mask.111101,5,phone_acc|phone_gyro|watch_acc|location|phone_state,audio,0.560995147427,0.708815653203,0.570576714205,0.125901315924,3
B4,0,mask.111110,5,phone_acc|phone_gyro|watch_acc|location|audio,phone_state,0.547266084715,0.693063721956,0.553357540022,0.126536400705,3
B4,0,mask.111111,6,phone_acc|phone_gyro|watch_acc|location|audio|phone_state,,0.571661239196,0.721849891573,0.577288947565,0.11980060478,3
B4,1,mask.000001,1,phone_state,phone_acc|phone_gyro|watch_acc|location|audio,0.40950800669,0.578013418531,0.445562874301,0.203626364268,3
B4,1,mask.000010,1,audio,phone_acc|phone_gyro|watch_acc|location|phone_state,0.374742680906,0.594633608415,0.387703932346,0.159695007974,3
B4,1,mask.000011,2,audio|phone_state,phone_acc|phone_gyro|watch_acc|location,0.456826833554,0.641662152433,0.472501563348,0.152985359461,3
B4,1,mask.000100,1,location,phone_acc|phone_gyro|watch_acc|audio|phone_state,0.320596194442,0.5170731798,0.348134785245,0.196253176631,3
B4,1,mask.000101,2,location|phone_state,phone_acc|phone_gyro|watch_acc|audio,0.442669010706,0.611888844309,0.449317037638,0.163864866936,3
