repeat,p2_macro_f1_seed_then_fold_mean,p_macro_f1_seed_then_fold_mean,delta_p2_minus_p
135,0.580121633845,0.578604954662,0.00151667918329
136,0.571729666023,0.571499811114,0.000229854909117
137,0.588035720491,0.58806018016,-2.44596685881e-05
138,0.557862880074,0.555455871289,0.00240700878468
139,0.587589397453,0.587113464282,0.000475933170764
140,0.573207526342,0.571400514248,0.00180701209414
141,0.56472893871,0.562801397829,0.00192754088072
142,0.565917983671,0.566862312249,-0.000944328578193
143,0.561670556317,0.559450218902,0.00222033741494
144,0.567618719002,0.563501041348,0.00411767765432
145,0.581081242105,0.577624997121,0.00345624498366
146,0.574040894558,0.574894638682,-0.000853744124143
147,0.561343896877,0.559150553999,0.00219334287879
148,0.544879530065,0.542669884961,0.0022096451043
149,0.540456785167,0.535989720314,0.00446706485244
150,0.58182737669,0.578820939827,0.00300643686304
151,0.568428703327,0.567208863058,0.00121984026934
152,0.572587577915,0.57238898508,0.000198592834899
153,0.583944928704,0.5839221807,2.27480039855e-05
154,0.562767923695,0.56231539326,0.000452530434396
155,0.541477255538,0.540195973176,0.00128128236228
156,0.57121460124,0.571339050705,-0.000124449464706
157,0.567954141329,0.566577389336,0.0013767519933
158,0.553838559044,0.553243455231,0.000595103813186
159,0.581286429772,0.580993599289,0.000292830483104
160,0.555328459249,0.553417122787,0.00191133646224
161,0.571905109471,0.569765391739,0.00213971773161
162,0.577430606375,0.578379433845,-0.000948827470238
163,0.571257362393,0.568331198165,0.00292616422743
164,0.562875073243,0.563411452979,-0.000536379735757
165,0.580197746856,0.580692994895,-0.000495248038349
166,0.58271347946,0.580788950262,0.00192452919793
167,0.5886344101,0.588778625351,-0.000144215250933
168,0.564169392443,0.561727548933,0.00244184351079
169,0.549463040925,0.54905186865,0.000411172275476
170,0.581015459567,0.580529137796,0.000486321771117
171,0.578734632989,0.580738767327,-0.00200413433833
172,0.571063852786,0.569539714564,0.0015241382222
173,0.590887006149,0.590021058666,0.00086594748267
174,0.555309670141,0.553704751758,0.00160491838311
175,0.548055288807,0.546968823945,0.00108646486221
176,0.563736116213,0.563231858113,0.000504258100289
177,0.580216367403,0.58129816091,-0.00108179350703
178,0.568927577151,0.569693782714,-0.000766205562778
179,0.587353602759,0.586401551814,0.000952050945292
180,0.585241911162,0.58725762789,-0.00201571672772
181,0.547805816842,0.545622290426,0.00218352641542
182,0.578229008044,0.576727503294,0.00150150474901
183,0.582838841507,0.581875355971,0.000963485536377
184,0.57993046421,0.578928267148,0.00100219706191
185,0.572721782013,0.570071162816,0.00265061919789
186,0.589475800405,0.588776553185,0.000699247220518
187,0.587208346662,0.585546013384,0.00166233327776
188,0.545719723605,0.54233503262,0.00338469098464
189,0.564829175518,0.565724003509,-0.00089482799096
190,0.583208623763,0.581613849356,0.00159477440764
191,0.585615376944,0.584616127688,0.000999249256461
192,0.581698686214,0.584005539822,-0.00230685360795
193,0.564107168949,0.560635846224,0.00347132272566
194,0.557318701363,0.557802861332,-0.000484159969232
195,0.57096674369,0.56797955506,0.00298718862953
