model_id,fold,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,seed_count
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,post,0.57287564873,0.765993524624,0.342439074176,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,pre,0.588492408188,0.773145895668,0.325344866864,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,fault,0.560303199971,0.781871103501,0.32428500059,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,fault,0.566950547658,0.741316496542,0.374466841273,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,post,0.565739339968,0.743809260532,0.368684114016,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,pre,0.573845489271,0.745770563754,0.368588161887,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,fault,0.581269720988,0.765159289876,0.339104954124,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,post,0.57287564873,0.765993524624,0.342439074176,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,pre,0.588492408188,0.773145895668,0.325344866864,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,fault,0.561340271502,0.785616395129,0.317234840708,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,fault,0.506850343315,0.680888276376,0.423868058605,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,post,0.565739339968,0.743809260532,0.368684114016,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,pre,0.573845489271,0.745770563754,0.368588161887,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,fault,0.51410174833,0.694272517231,0.399540899624,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,post,0.57287564873,0.765993524624,0.342439074176,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,pre,0.588492408188,0.773145895668,0.325344866864,3
