model_id,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,macro_f1_fold_std,micro_f1_fold_std,mean_average_precision_fold_std,brier_score_fold_std,fold_count,seed_count_per_fold
B5,mask.000110,2,location|audio,phone_acc|phone_gyro|watch_acc|phone_state,0.472832750749,0.622684778533,0.464801759436,0.153679126905,0.0311152213254,0.0250493584912,0.0288907514754,0.00905139790695,5,3
B5,mask.000111,3,location|audio|phone_state,phone_acc|phone_gyro|watch_acc,0.511114054289,0.668136255932,0.514444187735,0.139666382713,0.0192511810043,0.0370121747217,0.0217910052369,0.0121010715312,5,3
B5,mask.001000,1,watch_acc,phone_acc|phone_gyro|location|audio|phone_state,0.428475629341,0.551030878489,0.447633128839,0.190637273216,0.0322438221333,0.0201229361686,0.0450117002745,0.00936837812866,5,3
B5,mask.001001,2,watch_acc|phone_state,phone_acc|phone_gyro|location|audio,0.532274133053,0.653188364756,0.529495936766,0.150346976084,0.0381081188643,0.0140883651667,0.0419175788218,0.00663978550224,5,3
B5,mask.001010,2,watch_acc|audio,phone_acc|phone_gyro|location|phone_state,0.517748319583,0.647913207352,0.520504261188,0.145269676685,0.0294808098093,0.0242107894537,0.0443152523341,0.00486923594182,5,3
B5,mask.001011,3,watch_acc|audio|phone_state,phone_acc|phone_gyro|location,0.560256641877,0.684202392192,0.567756021926,0.132562763625,0.0319170806698,0.0215002546617,0.0472319132462,0.00351071217664,5,3
B5,mask.001100,2,watch_acc|location,phone_acc|phone_gyro|audio|phone_state,0.503462423786,0.604600084104,0.503638679387,0.166997673796,0.0297972002571,0.0309578730082,0.0478170117535,0.00974277111207,5,3
B5,mask.001101,3,watch_acc|location|phone_state,phone_acc|phone_gyro|audio,0.561232117273,0.671723034945,0.558676603355,0.141264632694,0.0343055062172,0.0270339679075,0.0378187824205,0.00908512249859,5,3
B5,mask.001110,3,watch_acc|location|audio,phone_acc|phone_gyro|phone_state,0.558152614509,0.664493747308,0.556195305478,0.138487623774,0.0307589673427,0.0308595837541,0.0362146684539,0.00860430953157,5,3
B5,mask.001111,4,watch_acc|location|audio|phone_state,phone_acc|phone_gyro,0.583644106358,0.69675170791,0.587303151876,0.127958200326,0.0271243645254,0.0317844492208,0.0311683781019,0.00949626024794,5,3
B5,mask.010000,1,phone_gyro,phone_acc|watch_acc|location|audio|phone_state,0.345850248348,0.490935770232,0.346664396561,0.214105831713,0.0267788716155,0.0463574906797,0.0116522104968,0.00649052681926,5,3
B5,mask.010001,2,phone_gyro|phone_state,phone_acc|watch_acc|location|audio,0.481826670333,0.630719919031,0.473404635102,0.161262968817,0.0248642363694,0.0311657529476,0.0259889642587,0.00815294492147,5,3
B5,mask.010010,2,phone_gyro|audio,phone_acc|watch_acc|location|phone_state,0.463768534609,0.614401171777,0.460504625151,0.159226758326,0.0317108380517,0.0266641780531,0.0322727102311,0.00524072268933,5,3
B5,mask.010011,3,phone_gyro|audio|phone_state,phone_acc|watch_acc|location,0.517701622358,0.66537200865,0.524193516294,0.141267502396,0.0216460855917,0.0346947962272,0.0347199951725,0.00584890113268,5,3
B5,mask.010100,2,phone_gyro|location,phone_acc|watch_acc|audio|phone_state,0.454047759482,0.550602807736,0.438046140277,0.186704059413,0.0234600967602,0.0201667907037,0.0375135663807,0.0041203060265,5,3
