model_id,score_method,fold,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00,seed_count
P2,task_confidence_full,0,0.6963269237666324,0.7717833976302172,0.8678150638468759,0.30438571417654975,0.2956420280532726,0.2178764811234175,0.0035078462601016666,0.9885362108081673,0.8000122965308413,0.3862079574670155,0.6012500730346879,0.7513106742646776,0.9000138335971964,0.4035786637941818,0.5909402265236872,0.7352102367576757,0.950014602130374,0.41230809141352803,0.5850951650928297,0.7263663887190382,1.0,0.42161029494264285,0.578556509015339,0.7167703429880822,3
P2,task_confidence_full,1,0.7016998285811726,0.70123442320246,0.8285000353005199,0.37200969167379166,0.3739795606023935,0.21428103328491024,0.010355777262920867,0.966407230360477,0.8000053848846288,0.41548600552661,0.6159377565776981,0.7172168706166785,0.9000026924423145,0.4260352785663804,0.6038734553931534,0.6999634905508935,0.9500013462211573,0.43144161808223275,0.5980125228221737,0.6916361150774817,1.0,0.4376861663444138,0.5917862430862229,0.6831750692922437,3
P2,task_confidence_full,2,0.7003776722671167,0.7424598581525744,0.8547474400670042,0.3967952079740873,0.35721876299704314,0.24746876509409702,0.010450783965221066,0.9820302459835712,0.8000083849532015,0.4294307330234495,0.6000941397012699,0.7318140995683345,0.9000094330723517,0.441411370723411,0.5910578725765729,0.7178631152248428,0.9500047165361757,0.44811347946930513,0.5861958971946805,0.7113895207243252,1.0,0.4546976433319169,0.5808665461004737,0.7045953898585241,3
P2,task_confidence_full,3,0.6978559084035428,0.7320917531478738,0.8411919804013354,0.3652544251522463,0.2291667344152223,0.18269965929533682,0.0016069966962899002,0.9999932472773209,0.8000069438014998,0.4067586708446429,0.5654107378556711,0.7344458801334398,0.9000092584019997,0.4208033694630242,0.551539684197961,0.7162079089891407,0.950004629201,0.42824509293603535,0.5441417590025505,0.7069645713397712,1.0,0.43663502324845077,0.5367494914144401,0.6980044005934554,3
P2,task_confidence_full,4,0.7263412402796837,0.682510090765704,0.8409697337452494,0.3527682822467275,0.3937792054290763,0.24035515718761177,0.007287172095614467,0.986873717824608,0.8000000000000002,0.4183831966240877,0.6385870044656454,0.7277690697792645,0.9,0.4327875273873507,0.6216832938748613,0.7104031483605029,0.950009801999608,0.43976604089966614,0.612274988523937,0.7024551801898817,1.0,0.4478184864248825,0.6004616926054661,0.6944136122783187,3
P2,task_confidence_output_only,0,0.6963269237666324,0.7350084776363017,0.8458780954654418,0.3159036911721826,0.3151187588317649,0.21652204414557438,0.0211971513661474,0.858323808980957,0.8000122965308413,0.3921350517098116,0.5994041224013374,0.7442245279661143,0.9000138335971964,0.4073382480160572,0.5897620141162504,0.7312428714805895,0.950014602130374,0.41472933081788516,0.584453889111439,0.7244269642730083,1.0,0.42161029494264285,0.578556509015339,0.7167703429880822,3
P2,task_confidence_output_only,1,0.7016998285811726,0.7159783213502399,0.8346126250026846,0.3640353633211415,0.3334783694420083,0.17153912919223635,0.0175138108570609,0.7704710895700385,0.8000053848846288,0.41190936670841743,0.617660862136885,0.7165760946556748,0.9000026924423145,0.42437224271653257,0.6045895138859643,0.6988833184418146,0.9500013462211573,0.4305158369911499,0.5983503473744292,0.6909665749307505,1.0,0.43768616634441376,0.5917862430862229,0.6831750692922437,3
P2,task_confidence_output_only,2,0.7003776722671167,0.7558067034436547,0.8601652418382043,0.3815334706823586,0.3451608874198305,0.23480988455667243,0.015168701702927466,0.8630709413515287,0.8000083849532015,0.4300398745780181,0.6002408094961528,0.7306470233237592,0.9000094330723517,0.4419398896822155,0.5903927099021611,0.716899634734232,0.9500047165361757,0.44809848111512895,0.5860836523729757,0.7108444509697244,1.0,0.4546976433319169,0.5808665461004737,0.7045953898585241,3
P2,task_confidence_output_only,3,0.6978559084035428,0.7306369971481782,0.8432457719094657,0.3704139357991492,0.26341286007025505,0.18351794619076855,0.009136592310453367,0.8780454636751859,0.8000069438014998,0.4087303216986124,0.5625964099037016,0.7325098086345937,0.9000092584019997,0.42251214235420614,0.5490164783133538,0.7149428822556937,0.950004629201,0.42987549776095646,0.5428339888720112,0.706176511399743,1.0,0.4366350232484509,0.5367494914144401,0.6980044005934554,3
P2,task_confidence_output_only,4,0.7263412402796837,0.7073846077053082,0.852577585385354,0.34970905695276683,0.33572548620586584,0.20761636978748413,0.005911465412947701,0.8780148372144406,0.8000000000000002,0.41450671731087857,0.6427761399238697,0.7328242223983809,0.9,0.4300718417990435,0.6257808729998641,0.7155955315792176,0.950009801999608,0.4380498904170189,0.6157778199049111,0.7064430717893516,1.0,0.4478184864248824,0.6004616926054661,0.6944136122783187,3
