selector,feature,unit_count,coefficient_mean,coefficient_std,coefficient_abs_mean,positive_fraction,negative_fraction,sign_agreement
task_confidence_output_only,label_certainty::EATING,15,0.049629278775261125,0.24799198563394512,0.21898567473793823,0.6,0.4,0.6
task_confidence_output_only,label_certainty::FIX_walking,15,-0.057876720087282806,0.1615455247624028,0.14445299791610097,0.3333333333333333,0.6666666666666666,0.6666666666666666
task_confidence_output_only,label_certainty::IN_A_CAR,15,-0.054505311546394375,0.14739085391151896,0.1092663443229247,0.4,0.6,0.6
task_confidence_output_only,label_certainty::LOC_home,15,0.0129374856987261,0.24393040671117305,0.20002090612253903,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_output_only,label_certainty::LOC_main_workplace,15,0.1226896445422785,0.40508595595103,0.3505292387082015,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_output_only,label_certainty::LYING_DOWN,15,0.1886693615377735,0.3121300515330557,0.2987583760222332,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_output_only,label_certainty::OR_exercise,15,0.04178423346501197,0.2684465402978567,0.21019368463541394,0.5333333333333333,0.4666666666666667,0.5333333333333333
task_confidence_output_only,label_certainty::OR_indoors,15,-0.27461331009886003,0.7980130953346868,0.6516579115243556,0.4,0.6,0.6
task_confidence_output_only,label_certainty::OR_outside,15,0.2245309984219425,0.8064596022386531,0.6254315921866109,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_output_only,label_certainty::OR_standing,15,0.06327087419359949,0.2940696033960981,0.252412938155628,0.6,0.4,0.6
task_confidence_output_only,label_certainty::SITTING,15,-0.2403400715899401,0.21379667232477323,0.2470909556273332,0.06666666666666667,0.9333333333333333,0.9333333333333333
task_confidence_output_only,label_certainty::SLEEPING,15,0.2766248869523249,0.34326025897338636,0.284185359651157,0.9333333333333333,0.06666666666666667,0.9333333333333333
task_confidence_output_only,label_certainty::TALKING,15,-0.17063652909114133,0.49052458286159606,0.43737910215755715,0.26666666666666666,0.7333333333333333,0.7333333333333333
task_confidence_output_only,label_threshold_margin::BICYCLING,15,-0.1413502210900582,0.39398790273140377,0.2852401913752507,0.4,0.6,0.6
task_confidence_output_only,label_threshold_margin::COMPUTER_WORK,15,-0.011004258334222255,0.19807247081330417,0.1623829604199812,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_output_only,label_threshold_margin::EATING,15,-0.25958807755450714,0.23904376061419488,0.29460381794180734,0.13333333333333333,0.8666666666666667,0.8666666666666667
task_confidence_output_only,label_threshold_margin::FIX_walking,15,0.04321857080424253,0.13200763045299688,0.10758237827728787,0.6,0.4,0.6
task_confidence_output_only,label_threshold_margin::IN_A_CAR,15,0.035392074888008135,0.09424543021923584,0.08379924388160849,0.6,0.4,0.6
task_confidence_output_only,label_threshold_margin::LOC_home,15,-0.21409887614009432,0.26560349850169973,0.2917542964727173,0.26666666666666666,0.7333333333333333,0.7333333333333333
task_confidence_output_only,label_threshold_margin::LOC_main_workplace,15,-0.2504215521130237,0.3129032798153794,0.32232571574764096,0.26666666666666666,0.7333333333333333,0.7333333333333333
task_confidence_output_only,label_threshold_margin::LYING_DOWN,15,-0.2788043677717533,0.19404777979967183,0.28375645578681236,0.06666666666666667,0.9333333333333333,0.9333333333333333
task_confidence_output_only,label_threshold_margin::OR_exercise,15,-0.025808684624610768,0.182755039627749,0.15332580248419397,0.4,0.6,0.6
task_confidence_output_only,label_threshold_margin::OR_indoors,15,0.1640476178654449,0.16295577752242466,0.17670750017179684,0.9333333333333333,0.06666666666666667,0.9333333333333333
task_confidence_output_only,label_threshold_margin::OR_outside,15,-0.03708316451149992,0.15590185659277087,0.13390851362825956,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_output_only,label_threshold_margin::OR_standing,15,-0.1826690220586374,0.23535313363152,0.2630015617390936,0.2,0.8,0.8
task_confidence_output_only,label_threshold_margin::SITTING,15,0.0022418636938130085,0.1282128473554177,0.10107068297041444,0.6,0.4,0.6
task_confidence_output_only,label_threshold_margin::SLEEPING,15,-0.26022491208949433,0.15034330411909239,0.26022491208949433,0.0,1.0,1.0
task_confidence_output_only,label_threshold_margin::TALKING,15,-0.030550558954771847,0.32203235224071547,0.2688252456315424,0.6,0.4,0.6
