policy_mode,target_coverage,fold,acceptance_threshold,validation_achieved_coverage,validation_coverage_absolute_error,test_coverage,coverage_absolute_error,risk_masked_bce,macro_f1,micro_f1,accepted_error_prevalence,rejected_error_precision,rejected_error_recall,seed_count
error_alert,0.95,2,0.23429296134025304,0.950004629201,4.62920099997266e-06,0.9632319802115105,0.013231980211510433,0.4490015119013366,0.5861392105618521,0.7101000372624705,0.6924145161220681,0.9089873542730045,0.04772352911380267,3
error_alert,0.95,3,0.2619645571706193,0.950009801999608,9.801999607983449e-06,0.9364063512637718,0.013593648736228032,0.4251479229541497,0.5502309182425368,0.7111426372439804,0.6839160526637484,0.902793203453807,0.08236018006081569,3
error_alert,0.95,4,0.19204302020304231,0.950014602130374,1.4602130373964071e-05,0.9516042606024963,0.0056492191073645006,0.43861603081370854,0.6121240678124207,0.7040688039339229,0.7167095290121427,0.9163566255426542,0.06102747651565,3
risk_control,0.8,0,0.36606264280309103,0.8000053848846288,5.384884628756304e-06,0.7768640772222137,0.0261670176301511,0.37217325577662946,0.6105278034643035,0.7588853842033044,0.6362400851678415,0.9037236857723037,0.28993463211424425,3
risk_control,0.8,1,0.371259602747434,0.8000083849532015,8.38495320143462e-06,0.7985694156502697,0.009380469023451118,0.4010592602473089,0.6320582908262941,0.7219691102521716,0.6674526658379208,0.8366263044991119,0.24046534435163514,3
risk_control,0.8,2,0.36307964089851597,0.8000069438014998,6.943801499792457e-06,0.8423873359256814,0.0423873359256813,0.4192098258574946,0.6099460893409457,0.7355750681648195,0.6683597176473718,0.8714253680417454,0.19610843808257786,3
risk_control,0.8,3,0.36649990936807314,0.8000000000000002,0.0,0.7680153072246396,0.0319846927753603,0.3926990879478815,0.5743790411383006,0.7489812408190293,0.643959914878664,0.8755592241396234,0.2912688034266856,3
risk_control,0.8,4,0.37068861623680366,0.8000122965308413,1.229653084122706e-05,0.7697248905443378,0.030275109455662266,0.40472177447910357,0.6639368089256644,0.7435694958945444,0.6889821832661646,0.8526743300291543,0.26999841730082763,3
risk_control,0.9,0,0.35538309675286267,0.9000026924423145,2.692442314433663e-06,0.8867745687247984,0.021370858246617136,0.3941263007103051,0.597195278893119,0.7391883522426496,0.6674864617707349,0.9200785313341465,0.14984566575490313,3
risk_control,0.9,1,0.35799803169010264,0.9000094330723517,9.433072351683336e-06,0.9016405948502554,0.006530070093248234,0.4193805354384352,0.6128241566937341,0.7024368775436947,0.6872983087824472,0.8331935315214434,0.11690832246473086,3
risk_control,0.9,2,0.3501024835988826,0.9000092584019997,9.258401999834298e-06,0.9273129369346708,0.027312936934670667,0.4341943510566277,0.5980809697646663,0.721391530790885,0.6850290488058809,0.8959730645297928,0.09298839538635317,3
risk_control,0.9,3,0.35846888195234494,0.9,0.0,0.8838147702373238,0.019416412060611635,0.4140989193224151,0.5565164691726441,0.7239951135943635,0.6732686899631806,0.8835533281729754,0.14737808546547834,3
risk_control,0.9,4,0.36073486025448065,0.9000138335971964,1.3833597196422076e-05,0.8679017186172646,0.0320982813827354,0.42327115343535704,0.6383548282393946,0.7238457887472686,0.7057001516787582,0.8665748508251933,0.15684731452526407,3
risk_control,0.95,0,0.3480620320430612,0.9500013462211573,1.3462211572168314e-06,0.9403567018654861,0.015555367691889898,0.4060939811310192,0.5897398611771573,0.7292003136408765,0.6812127539390348,0.9319202287763542,0.08001308964085543,3
risk_control,0.95,1,0.34683932898019143,0.9500047165361757,4.716536175841668e-06,0.9521238882456943,0.005811636735682867,0.4282624606057832,0.6020064202579475,0.6926470259274141,0.6950791473872019,0.8331506749704561,0.056884399104278865,3
