phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-3,P2,1,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,f52c8661a0b6d6269cb249637d65fbdd91d0f67599b6461a875df807a2fb997e,extrasensory-p2-fold1-seed29-v2_multiseed,grouped_risk_full_compact,74282,53725,0.7232573167119895,0.6170178744397564,0.7984784831862133,0.3875045308571238,0.3989553056367804,0.0337287243533218,0.2659335349152735,0.6264972860362812,0.8000053848846288,0.4059131296087796,0.6304289497496119,0.7076088296954002,0.9000026924423145,0.4230650800348243,0.6116805520713005,0.6889238638599252,0.9500013462211572,0.4315590117524397,0.6008350291869476,0.6796736696171484,1.0,0.4418665989971377,0.5897960850388606,0.6703722119619264
V3-3,P2,1,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,f52c8661a0b6d6269cb249637d65fbdd91d0f67599b6461a875df807a2fb997e,extrasensory-p2-fold1-seed29-v2_multiseed,grouped_risk_selected,74282,53725,0.7232573167119895,0.6170178744397564,0.7984784831862133,0.3875045308571238,0.3989553056367804,0.0337287243533218,0.2659335349152735,0.6264972860362812,0.8000053848846288,0.4059131296087796,0.6304289497496119,0.7076088296954002,0.9000026924423145,0.4230650800348243,0.6116805520713005,0.6889238638599252,0.9500013462211572,0.4315590117524397,0.6008350291869476,0.6796736696171484,1.0,0.4418665989971377,0.5897960850388606,0.6703722119619264
V3-3,P2,1,47,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,fb9bacb9054577d3496b06c24fdfc18f5eb1bd887eab1bbeda4472dcd3d24c72,extrasensory-p2-fold1-seed47-v2_multiseed,mean_binary_certainty,74282,50613,0.6813629142995611,0.7066820111972487,0.8112985434115706,0.3351015262008723,0.4952839485082304,0.2139893444963799,0.0329562464654046,0.9832925629764828,0.8000053848846288,0.3889496735144158,0.6251319616552522,0.7326366789198177,0.9000026924423145,0.4091792604421189,0.6060675568203665,0.7120716793800702,0.9500013462211572,0.4187257041857277,0.596805764884867,0.702372378271023,1.0,0.4277175798563684,0.5900286318594605,0.6948837546397196
V3-3,P2,1,47,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,fb9bacb9054577d3496b06c24fdfc18f5eb1bd887eab1bbeda4472dcd3d24c72,extrasensory-p2-fold1-seed47-v2_multiseed,p2_system_reliability,74282,50613,0.6813629142995611,0.5809688805259767,0.7240773749798646,0.3982449897022783,0.983435342444963,0.0126806688752659,0.8818825483322144,0.9988088011741638,0.8000053848846288,0.4205983325628428,0.5742230085152837,0.7005939927062619,0.9000026924423145,0.4244829415336068,0.5885948842662568,0.6958370157288832,0.9500013462211572,0.4266960743052416,0.5900671064843181,0.6944127676913526,1.0,0.4277175798563684,0.5900286318594605,0.6948837546397196
V3-3,P2,1,47,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,fb9bacb9054577d3496b06c24fdfc18f5eb1bd887eab1bbeda4472dcd3d24c72,extrasensory-p2-fold1-seed47-v2_multiseed,grouped_risk_output_compact,74282,50613,0.6813629142995611,0.7086603742364669,0.8045154321223498,0.3257037477156441,0.3967507553233238,0.0268745934643735,0.3199364550687827,0.4653195367467181,0.8000053848846288,0.3905086786369485,0.6311218701131014,0.7380119392474753,0.9000026924423145,0.4097743743998892,0.6116302235100232,0.7164731962229098,0.9500013462211572,0.41873510723895,0.6011020588161028,0.7056583124749428,1.0,0.4277175798563684,0.5900286318594605,0.6948837546397196
V3-3,P2,1,47,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,fb9bacb9054577d3496b06c24fdfc18f5eb1bd887eab1bbeda4472dcd3d24c72,extrasensory-p2-fold1-seed47-v2_multiseed,grouped_risk_full_compact,74282,50613,0.6813629142995611,0.6965105362023892,0.800497160120387,0.3268052214784611,0.3970894123816681,0.0286585619684194,0.3062319786396284,0.4777268986209699,0.8000053848846288,0.3888417987735423,0.6310139726411664,0.7369056170090504,0.9000026924423145,0.4073079347808958,0.6106500346876328,0.7153224358846508,0.9500013462211572,0.4167378503585228,0.6001442030937639,0.7049657037705527,1.0,0.4277175798563684,0.5900286318594605,0.6948837546397196
V3-3,P2,1,47,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,fb9bacb9054577d3496b06c24fdfc18f5eb1bd887eab1bbeda4472dcd3d24c72,extrasensory-p2-fold1-seed47-v2_multiseed,grouped_risk_selected,74282,50613,0.6813629142995611,0.7086603742364669,0.8045154321223498,0.3257037477156441,0.3967507553233238,0.0268745934643735,0.3199364550687827,0.4653195367467181,0.8000053848846288,0.3905086786369485,0.6311218701131014,0.7380119392474753,0.9000026924423145,0.4097743743998892,0.6116302235100232,0.7164731962229098,0.9500013462211572,0.41873510723895,0.6011020588161028,0.7056583124749428,1.0,0.4277175798563684,0.5900286318594605,0.6948837546397196
V3-3,P2,2,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,ed6b7ef0b738c337e05453c5f54c76e5d9d73ea1c87e88b38f504078b40100aa,extrasensory-p2-fold2-seed13-v2_seed13,mean_binary_certainty,95409,67648,0.7090316427171441,0.7656697401853234,0.8653422426209991,0.3915801199110597,0.5783796119405312,0.2204763827054629,0.0387463801804174,0.9977176064348908,0.8000083849532015,0.44127542665259,0.6003040488234999,0.7305891599640312,0.9000094330723517,0.4519150262394631,0.5899648657448134,0.7147535970644092,0.9500047165361758,0.4576214391722451,0.5842788664908449,0.7070951308298404,1.0,0.4643390512323676,0.5770586778765388,0.6988816342362144
V3-3,P2,2,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,ed6b7ef0b738c337e05453c5f54c76e5d9d73ea1c87e88b38f504078b40100aa,extrasensory-p2-fold2-seed13-v2_seed13,p2_system_reliability,95409,67648,0.7090316427171441,0.5011956587022175,0.6951372590561757,0.4428156317149955,0.9759013040562124,0.0200036616684687,0.8082089424133301,0.9985026717185974,0.8000083849532015,0.4691386669599934,0.5789107721628991,0.6994321537069428,0.9000094330723517,0.472832380710065,0.5779492890433524,0.6938077756114356,0.9500047165361758,0.47073639930841,0.5768779548938847,0.6936776964550632,1.0,0.4643390512323677,0.5770586778765388,0.6988816342362144
V3-3,P2,2,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,ed6b7ef0b738c337e05453c5f54c76e5d9d73ea1c87e88b38f504078b40100aa,extrasensory-p2-fold2-seed13-v2_seed13,grouped_risk_output_compact,95409,67648,0.7090316427171441,0.7623780524434867,0.8576043321247087,0.3826039095021922,0.3941870604767918,0.0347330640545609,0.3415672292101654,0.5020338707107066,0.8000083849532015,0.4313340988624525,0.6071036599663473,0.7323362274172022,0.9000094330723517,0.4474496761257603,0.5927453776722248,0.7146645815531946,0.9500047165361758,0.4562009549183122,0.5858493849244956,0.7069205530373432,1.0,0.4643390512323676,0.5770586778765388,0.6988816342362144
